Ch1,Ch2,Ch3,Media,Name,Directory,SubDirectory,Image,Row,Column,size-average,image-quality,too-big-(>250),too-small-(<75),#nuclei,all-negative,Dapi-positive,Dapi-intensity,Dapi-area,Dapi-intensity-in-nuclei,Dapi-area-fraction-in-nuclei,Ch1-positive,Ch1-intensity,Ch1-area,Ch1-intensity-in-nuclei,Ch1-area-fraction-in-nuclei,Ch2-positive,Ch2-intensity,Ch2-area,Ch2-intensity-in-nuclei,Ch2-area-fraction-in-nuclei,Ch3-positive,Ch3-intensity,Ch3-area,Ch3-intensity-in-nuclei,Ch3-area-fraction-in-nuclei,Ch1-Ch2-positive,Ch1-Ch3-positive,Ch2-Ch3-positive,Ch1-Ch2-Ch3-positive
MAP2,CD44,Brn2,E8,,E8 11-15,Cortical final-4W-E8-11-15-18-A+B,scan_Plate_R_p00_0_A01f00d0.TIF,A,1,120.11,False,68,423,252,0,252,6.717448036420491,10.2332038075968,30.166151708071954,99.98782285457925,245,28.466154695116344,26.355780948220364,63.31831906877978,81.70415371069498,252,47.81641451301389,76.82605421686748,79.04510856743671,99.28428279853686,68,17.42878144256415,0.8800469051779638,32.61324374966013,7.019053833551363,245,65,68,65
MAP2,CD44,Brn2,E8,,E8 11-15,Cortical final-4W-E8-11-15-18-A+B,scan_Plate_R_p00_0_A01f01d0.TIF,A,1,122.9,True,69,110,232,0,232,7.303641330589533,9.54083509610963,30.47455339569965,99.94907941951332,216,26.70084440816702,22.288581808148624,63.60717225044765,79.34576465066137,232,48.82130046905178,88.85247574266532,81.27081925376281,99.48693001797939,1,4.281705543548239,0.03959061436586039,7.565129822129649,0.16764941372659573,216,1,1,1
MAP2,CD44,Brn2,E8,,E8 11-15,Cortical final-4W-E8-11-15-18-A+B,scan_Plate_R_p00_0_A01f02d0.TIF,A,1,113.38,False,63,147,254,0,254,7.5405778648946935,11.339010622643245,32.08707717266128,99.9791630098732,244,26.513603794950797,24.570969948496277,61.59903662541598,81.42140468223107,254,33.693891261611334,39.495769336889545,55.45918538874289,94.5792793470927,0,4.351267905591833,0.0004311137680492964,7.330664232809155,0.0,244,0,0,0
MAP2,CD44,Brn2,E8,,E8 11-15,Cortical final-4W-E8-11-15-18-A+B,scan_Plate_R_p00_0_A01f03d0.TIF,A,1,130.77,True,37,74,205,3,205,7.298668433275085,8.245122666237469,32.471660305998576,99.95060504136681,119,12.094860117952727,8.28413846224593,29.0563408204677,31.040317775928635,202,26.395660408810816,19.79889979766394,44.5563180381726,71.83291657618267,12,16.464188097811093,0.417892945829118,22.23798039552294,2.1667527418724766,119,11,12,11
MAP2,CD44,Brn2,E8,,E8 11-15,Cortical final-4W-E8-11-15-18-A+B,scan_Plate_R_p00_0_A01f04d0.TIF,A,1,149.59,True,87,13,72,0,72,11.167927434930562,12.595276142738895,33.79069444868727,99.9664023174459,22,11.267887628759311,8.451482456543733,23.160942225291542,22.420270010398642,72,29.480706221833902,21.223299687298812,41.64509946966646,70.37751017360873,33,38.91427877540697,6.60509404028327,49.499489618253676,18.800939839067322,22,18,33,18
MAP2,CD44,Brn2,E8,,E8 11-15,Cortical final-4W-E8-11-15-18-A+B,scan_Plate_R_p00_0_A01f05d0.TIF,A,1,122.61,True,46,86,119,5,119,9.907988107008185,13.23842603237377,32.93780737552602,99.93005194018329,97,27.3215390186701,21.095115193598822,50.644665145355816,59.78496204465033,113,25.619283431435665,21.406091924951717,36.72294491193559,63.13958810556731,54,32.87730645865906,7.152536673411202,42.768762581887266,13.760417720190555,97,46,53,46
MAP2,CD44,Brn2,E8,,E8 11-15,Cortical final-4W-E8-11-15-18-A+B,scan_Plate_R_p00_0_A01f06d0.TIF,A,1,130.11,True,42,32,88,0,88,8.089737767865355,8.904008208406143,35.59099336155979,99.99929332117847,75,20.61689577968362,13.993162535638739,58.99353791886242,67.25949661047197,88,36.18404318610319,39.64098282442748,64.06886816228212,92.93554029871126,11,22.715551854364023,2.014594638094362,33.40364808177429,6.977481227974394,75,11,11,11
MAP2,CD44,Brn2,E8,,E8 11-15,Cortical final-4W-E8-11-15-18-A+B,scan_Plate_R_p00_0_A01f07d0.TIF,A,1,113.18,False,45,112,308,4,308,5.615985411110089,6.209187896624667,38.330894490023994,99.99743983614952,291,21.683421663754253,16.159437367791778,65.3424424392781,74.86401523055979,302,21.630636093994298,13.313870941782397,39.716709866740906,73.40796468168152,56,12.630508915432724,0.227340660351329,23.65469101253722,3.507927481797466,291,50,54,50
MAP2,CD44,Brn2,E8,,E8 11-15,Cortical final-4W-E8-11-15-18-A+B,scan_Plate_R_p00_0_A01f08d0.TIF,A,1,134.49,True,48,216,120,0,120,4.542290105076796,4.763591580060701,25.294822036831345,99.87954002183717,113,22.5796942541157,17.472609905269934,71.52234182703612,84.38714226493623,120,47.99203732870413,78.58607617492872,96.39377749176101,99.01626888505605,8,11.414150159799503,0.09599466568564334,21.007204754914447,1.823200488667731,113,7,8,7
MAP2,CD44,Brn2,E8,,E8 11-15,Cortical final-4W-E8-11-15-18-A+B,scan_Plate_R_p00_0_A01f09d0.TIF,A,1,137.53,True,65,39,161,1,161,6.777987187298813,7.418605720592293,29.399581413338144,99.97622143268848,138,18.839791657086362,11.915912696587878,59.47976947017522,68.96176521518969,160,28.69897481145958,24.32422916858273,51.26238530849115,84.50466103989288,9,8.648122068426376,0.12602892485974432,15.404987548113041,1.1550035723985421,138,8,9,8
