Ch1,Ch2,Ch3,Media,Name,Directory,SubDirectory,Image,Row,Column,size-average,image-quality,too-big-(>250),too-small-(<75),#nuclei,all-negative,Dapi-positive,Dapi-intensity,Dapi-area,Dapi-intensity-in-nuclei,Dapi-area-fraction-in-nuclei,Ch1-positive,Ch1-intensity,Ch1-area,Ch1-intensity-in-nuclei,Ch1-area-fraction-in-nuclei,Ch2-positive,Ch2-intensity,Ch2-area,Ch2-intensity-in-nuclei,Ch2-area-fraction-in-nuclei,Ch3-positive,Ch3-intensity,Ch3-area,Ch3-intensity-in-nuclei,Ch3-area-fraction-in-nuclei,Ch1-Ch2-positive,Ch1-Ch3-positive,Ch2-Ch3-positive,Ch1-Ch2-Ch3-positive
MAP2,nestin,SOX1,mTeSR1,,mTeSR-1,A+B,scan_Plate_R_p00_0_A01f00d0.TIF,A,1,134.06,False,65,48,560,29,560,8.166847494941598,9.513243814954475,34.81381240587929,100.0,304,11.954370200266716,5.453589165823599,26.16985623098197,23.487259245096052,531,8.386932510576658,24.381639152027958,11.294721424456352,49.77733313986391,8,2.544720868205647,0.04720695760139796,2.9400947564585844,0.19196615854734334,304,4,8,4
MAP2,nestin,SOX1,mTeSR1,,mTeSR-1,A+B,scan_Plate_R_p00_0_A01f01d0.TIF,A,1,116.7,True,32,225,375,1,375,5.52171376345075,6.476119171341856,30.751786650999207,99.97850114718625,277,16.62968261404396,9.37514370458935,38.709406104745426,44.849671807735994,374,10.193014663616298,41.162886277936174,13.78452280811276,71.55601071343487,16,2.2067355778074127,0.08679757196725835,2.6098248331257112,0.23702961158308097,277,11,16,11
MAP2,nestin,SOX1,mTeSR1,,mTeSR-1,A+B,scan_Plate_R_p00_0_A01f02d0.TIF,A,1,114.99,False,42,118,618,223,618,6.465277378598363,8.741981283914283,35.71139208891841,99.99885236871098,176,6.136392181320702,1.337602317667617,13.368431770585898,5.169996639068309,393,5.706031425319599,9.788581808148624,7.492642552488159,21.576513370508817,12,2.1077195231306907,0.13386082497930654,2.4045113919840766,0.14097097169743827,176,5,10,5
MAP2,nestin,SOX1,mTeSR1,,mTeSR-1,A+B,scan_Plate_R_p00_0_A01f03d0.TIF,A,1,134.86,True,115,20,387,7,387,8.206081003402925,9.605933275085073,36.78562956668562,99.9979980769849,242,13.9377320829118,7.691285178883473,32.942813889699735,35.487003512082715,380,9.671586872298354,35.8754196174009,14.02565464392896,70.56824667894227,13,3.8479483295778536,0.15469799043502253,4.467890999388531,0.57818177321926,242,6,13,6
MAP2,nestin,SOX1,mTeSR1,,mTeSR-1,A+B,scan_Plate_R_p00_0_A02f00d0.TIF,A,2,130.05,True,68,687,461,28,461,7.910326899199853,11.990710935344431,26.5515407004099,99.88894935648706,400,27.2590282408259,21.468459716729512,38.36410018486493,43.03124778882897,407,8.134936453830589,21.381231030994204,8.996702163186933,27.42815867811884,19,2.339244142600938,0.22655028510990527,3.153095852884082,1.1161884319163917,374,18,18,17
MAP2,nestin,SOX1,mTeSR1,,mTeSR-1,A+B,scan_Plate_R_p00_0_A02f01d0.TIF,A,2,128.05,True,54,256,446,0,446,7.651764979766394,10.175793824151569,29.16674740950808,99.93181444288754,317,21.988974983905084,13.587125218430975,35.61267352798686,38.52451068620102,446,12.570729961832061,75.48342223857262,14.06631458385892,89.63467493702116,17,2.581348293939115,0.15692541156994388,3.196388236182651,0.7938704792256325,317,15,17,15
MAP2,nestin,SOX1,mTeSR1,,mTeSR-1,A+B,scan_Plate_R_p00_0_A02f02d0.TIF,A,2,122.58,False,44,227,479,162,479,5.947491780097489,8.12591970937184,31.720808222144168,99.939803125897,307,16.82045836015819,6.126845166927251,28.70470010677002,25.482404685082912,26,2.974656977145222,0.2921514301480732,3.586932095770522,0.33152293996868926,31,2.278752414237101,0.22087395383058953,3.0465512852740932,1.448562578648204,23,24,5,5
MAP2,nestin,SOX1,mTeSR1,,mTeSR-1,A+B,scan_Plate_R_p00_0_A02f03d0.TIF,A,2,128.7,True,108,136,782,197,782,8.861368182654282,14.629270900395476,29.948085147371486,99.96106790735394,492,19.82418246459119,9.775145429044422,29.726212813935764,23.778986315130915,507,6.322362445967074,8.109968499954014,7.26546695213539,12.821305068428938,15,2.342190805205555,0.17079290444219627,2.898136667918044,0.5016494858458345,417,11,11,10
MAP2,nestin,SOX1,mTeSR1,,mTeSR-1,A+B,scan_Plate_R_p00_0_A03f00d0.TIF,A,3,127.66,False,216,39,736,1,736,13.358724018210246,22.471805159569577,38.091169763530175,99.99618261904006,443,18.002723201968177,12.991757104754898,28.987857535028535,27.85280248244997,735,12.486319323093902,60.64994711671112,14.93993381726329,87.58619466926577,18,2.649630248091603,0.1549135473190472,3.3583279914678865,0.6423721567371958,443,14,18,14
MAP2,nestin,SOX1,mTeSR1,,mTeSR-1,A+B,scan_Plate_R_p00_0_A03f01d0.TIF,A,3,119.2,False,112,84,1233,114,1233,11.215125770256599,18.333687804653728,38.529285749819294,100.0,787,16.69146768371195,10.45968224041203,28.508781318914842,27.639598926111777,1057,6.874686005472271,18.925678860480087,8.16729152481992,26.692387591133624,113,2.6673253127011862,0.3816793893129771,3.748407898329362,1.48449781898002,734,68,102,66
